Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAPHITE,EQ,4-Dec-19,296.6,296,304,293,300.5,300.9,297.83,1127148,335694447,20414,255276,22.65
GRAPHITE,EQ,5-Dec-19,300.9,301,314.9,300.65,314.9,313.35,309.83,2272998,704232059.9,43426,692429,30.46
GRAPHITE,EQ,6-Dec-19,313.35,315,317.4,303.2,305.65,305.6,311.07,1265053,393516503,32777,423184,33.45
GRAPHITE,EQ,9-Dec-19,305.6,305.7,311.3,302,308.1,307.8,307.79,683066,210242252.1,14657,173231,25.36
GRAPHITE,EQ,10-Dec-19,307.8,307.6,308.95,297,299.25,299.3,302.07,518038,156484372.9,14589,215063,41.51
GRAPHITE,EQ,11-Dec-19,299.3,296.5,309.5,295.8,308.95,307.45,305.74,906817,277248216.5,30303,302588,33.37
GRAPHITE,EQ,12-Dec-19,307.45,308.95,322.5,304.25,313.4,314.45,314.52,1876540,590201231.6,38007,346982,18.49
GRAPHITE,EQ,13-Dec-19,314.45,315.95,316.9,306,306.6,307.25,310.91,959109,298200893.2,18757,319378,33.3
GRAPHITE,EQ,16-Dec-19,307.25,308,311.2,302.5,303.5,304.5,307.42,1659520,510164855.8,32993,408210,24.6
GRAPHITE,EQ,17-Dec-19,304.5,307.3,311,305.15,306.8,307.2,307.74,945922,291095579.6,16808,262574,27.76
GRAPHITE,EQ,18-Dec-19,307.2,306,312.9,305.25,308.75,309.25,309.48,1581257,489365181,20676,551393,34.87
GRAPHITE,EQ,19-Dec-19,309.25,308.75,316.25,306.2,308.6,310.1,311.64,1789923,557815089.8,21333,456433,25.5
GRAPHITE,EQ,20-Dec-19,310.1,310,320.9,306.6,307,308.6,314.71,2192957,690144627.4,30657,521290,23.77
GRAPHITE,EQ,23-Dec-19,308.6,308,310.75,303,307.6,307,307.37,721539,221783019.3,11801,222138,30.79
GRAPHITE,EQ,24-Dec-19,307,307.8,310.8,303.8,305.5,305.85,307.48,791400,243341173,13219,190320,24.05
GRAPHITE,EQ,26-Dec-19,305.85,306.3,309,304,304.7,304.85,306.33,717150,219685038.8,10799,178632,24.91
GRAPHITE,EQ,27-Dec-19,304.85,305.95,309.9,302.55,304.25,304.55,305.85,811471,248189420.3,11009,173992,21.44
GRAPHITE,EQ,30-Dec-19,304.55,306,308.5,303,305.65,306.15,306.08,868221,265745108.7,13820,172325,19.85
GRAPHITE,EQ,31-Dec-19,306.15,306,307,302.6,302.8,303.25,304.66,637843,194322470.6,13457,198143,31.06
GRAPHITE,EQ,1-Jan-20,303.25,303.7,310.7,302.15,306.15,306.5,306.83,1127394,345914236.8,14438,198276,17.59
GRAPHITE,EQ,2-Jan-20,306.5,307.35,314.65,306.65,309.65,310.55,310.65,2172895,675014613.1,26258,644487,29.66
GRAPHITE,EQ,3-Jan-20,310.55,309,318.9,308.2,309.15,309.2,313.99,3316089,1041216588,40492,765786,23.09
GRAPHITE,EQ,6-Jan-20,309.2,306.8,307.6,293,293.95,294.95,297.8,1350305,402115030.5,21968,584091,43.26
GRAPHITE,EQ,7-Jan-20,294.95,298.2,302,294,296.6,296.75,297.9,801106,238648275.9,16655,251843,31.44
GRAPHITE,EQ,8-Jan-20,296.75,289.15,295.75,288,291.5,291.95,291.91,821444,239787115,13390,228577,27.83
GRAPHITE,EQ,9-Jan-20,291.95,296,303.9,294.6,297.25,297.85,299.55,1977076,592227024.3,29913,381166,19.28
GRAPHITE,EQ,10-Jan-20,297.85,298.95,309,296.9,297.7,298.3,303.4,2442990,741201555.5,31254,461046,18.87
GRAPHITE,EQ,13-Jan-20,298.3,301.2,302.55,296.15,296.9,297.1,299.26,957273,286476565.9,13507,296345,30.96
GRAPHITE,EQ,14-Jan-20,297.1,300,304.35,298,301,301.4,301.58,1288503,388583508.7,16320,293983,22.82
GRAPHITE,EQ,15-Jan-20,301.4,301.6,304.7,297.3,300,300.25,300.64,1227424,369011420.1,18715,269848,21.98
GRAPHITE,EQ,16-Jan-20,300.25,302,315.8,300.35,314.65,313.5,310.11,5214258,1616983470,57167,1075667,20.63
GRAPHITE,EQ,17-Jan-20,313.5,315,324.8,313.6,315.45,315.7,319.42,4430725,1415254690,53690,986172,22.26
GRAPHITE,EQ,20-Jan-20,315.7,317,318.45,307.6,308.65,308.8,312.78,1269925,397202138.2,16604,373911,29.44
GRAPHITE,EQ,21-Jan-20,308.8,306,309.55,304,305.3,305.45,306.59,1130712,346664351.7,15136,287102,25.39
GRAPHITE,EQ,22-Jan-20,305.45,313,327.65,313,315.4,316,319.41,4267542,1363113371,55756,840596,19.7
GRAPHITE,EQ,23-Jan-20,316,316.45,325.8,313.2,325.5,323.15,320.37,2260357,724157417.6,36426,679565,30.06
GRAPHITE,EQ,24-Jan-20,323.15,325.75,327.2,317,317.9,318.1,321.56,1474018,473980208.6,24930,404251,27.43
